sample_number,follow_number,Date_Collected,month,year,Who_Collected,Time_Collected,Orangutan_ID,ID_correction,class,flanged_since,known_birth_yr,known_birth_months,known_age_in_months,next_sib_birth_yr,next_sib_birth_month,last_inf_yr,last_inf_month,next_inf_yr,next_inf_mo,known_offspring,known_num_offspring,estim_birth,estim_age_years,age_class,comment
268,4638,17-Oct-11,10,2011,Idun,,Kondor,Kondor,nulliparous female,,,,,,,,,,,,,1998,13,,early pregnancy
269,4640,19-Oct-11,10,2011,Idun,5:08:00 AM,Kondor,Kondor,nulliparous female,,,,,,,,,,,,,1998,13,,early pregnancy
270,4640,19-Oct-11,10,2011,Idun,9:39:00 AM,Kondor,Kondor,nulliparous female,,,,,,,,,,,,,1998,13,,early pregnancy
271,4642,20-Oct-11,10,2011,Idun,11:49:00 AM,Kondor,Kondor,nulliparous female,,,,,,,,,,,,,1998,13,,early pregnancy
273,4929,29-Apr-12,4,2012,Idun,11:09:00 AM,Milo,Milo,local offspring,,,,,2008,7,,,,,,,2001,11,,
277,5018,25-Jun-12,6,2012,Idun,9:33:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
278,5024,28-Jun-12,6,2012,Idun,2:40:00 PM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
279,5035,2-Jul-12,7,2012,Idun,6:28:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
280,5041,4-Jul-12,7,2012,Idun,8:51:00 AM,Milo,Milo,local offspring,,,,,2008,7,,,,,,,2001,11,,
284,5149,8-Aug-12,8,2012,Idun,5:24:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
285,5149,8-Aug-12,8,2012,Idun,10:15:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
291,5264,9-Oct-12,10,2012,Idun,7:54:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,14,,
292,5268,11-Oct-12,10,2012,Caco,8:16:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
293,5270,12-Oct-12,10,2012,Alysse,1:00:00 PM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
295,5273,13-Oct-12,10,2012,Bec,6:45:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
297,5278,15-Oct-12,10,2012,Caco,5:00:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
298,5285,17-Oct-12,10,2012,Idun,8:56:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
299,5292,20-Oct-12,10,2012,Alysse,5:37:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
300,5295,21-Oct-12,10,2012,Idun,4:58:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
302,5300,22-Oct-12,10,2012,Alysse,4:48:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
304,5304,23-Oct-12,10,2012,Caco,4:46:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
305,p5304,23-Oct-12,10,2012,Caco,7:47:00 AM,Milo,Milo,local offspring,,,,,,,,,,,,,2001,11,,
306,5304,28-Oct-12,10,2012,Caco,12:52:00 PM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
313,5350,17-Nov-12,11,2012,Caco,8:44:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,32,,
316,5358,21-Nov-12,11,2012,Idun,10:07:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,32,,
320,5366,25-Nov-12,11,2012,Alysse,4:56:00 AM,Milo,Milo,local offspring,,,,,2008,7,,,,,,,2001,11,,
318,p5366,25-Nov-12,11,2012,Idun,5:06:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,26,,
319,5366,25-Nov-12,11,2012,Idun,4:39:00 AM,Mawas,Mawas,local offspring,,2008,7,52,2014,11,,,,,,,,,,
325,5379,4-Dec-12,12,2012,Idun,9:35:00 AM,Juni,Juni,parous female,,,,,,,2006,2,2013,7,M,1,c.1992,20,,early pregnancy
VTU072,5383,8-Dec-12,12,2012,Alysse,5:50:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
326,5383,8-Dec-12,12,2012,Alysse,7:54:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,22,,
331,5401,31-Dec-12,12,2012,Idun,7:51:00 PM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>47,old female,
338,5432,13-Feb-13,2,2013,Alysse,5:16:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,15,,
VTU085,5432,13-Feb-13,2,2013,Idun/Alysse,5:16:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,15,,
341,5442,21-Feb-13,2,2013,Idun,10:11:00 AM,Juni,Juni,pregnant,,,,,,,2006,2,2013,7,M,1,,,,early pregnancy
344,5460,12-Mar-13,3,2013,Idun,5:24:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
346,5464,14-Mar-13,3,2013,Idun,5:29:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
347,5467,15-Mar-13,3,2013,Alysse,5:32:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
348,9999,16-Mar-13,3,2013,Alysse,5:22:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
VTU096,9999,16-Mar-13,3,2013,Alysse,5:22:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
VTU097,5472,19-Mar-13,3,2013,Alysse,4:57:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
349,5472,19-Mar-13,3,2013,Alysse,4:57:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
350,5481,27-Mar-13,5,2013,Alysse,1:39:00 PM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
352,5523,14-May-13,5,2013,Idun,5:49:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
353,5530,28-May-13,5,2013,Idun,5:13:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
354,5531,29-May-13,5,2013,Idun,5:47:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
355,5548,15-Jun-13,6,2013,Abuk,4:59:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
392,5548,15-Jun-13,6,2013,Abuk,4:59:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
356,5549,16-Jun-13,6,2013,Abuk and Tim,5:29:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
359,5555,18-Jun-13,6,2013,Suwi,5:36:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
360,5557,19-Jun-13,6,2013,Idun,5:02:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
401,5577,30-Jun-13,6,2013,Idun and Tim,5:32:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
404,5582,1-Jul-13,7,2013,Abuk,5:14:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
405,9999,2-Jul-13,7,2013,Idun,5:25:00 AM,MindyMawas,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,27,,"assume sample  from Mindy, not Mawas?"
406,5589,4-Jul-13,7,2013,Erin and Idun,5:51:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
411,5600,6-Jul-13,7,2013,Abuk,5:02:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,15,,
423,5636,18-Jul-13,7,2013,Idun,5:10:00 AM,Chaz,Chaz,flanged,<2013,,,,,,,,,,,,<1987,26,young flanged,
422,5634,18-Jul-13,7,2013,Abuk,9:33:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
425,5640,19-Jul-13,7,2013,Tonno,6:30:00 AM,Chaz,Chaz,flanged,<2013,,,,,,,,,,,,<1987,26,young flanged,
426,5644,21-Jul-13,7,2013,Idun,5:00:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,33,,
428,5651,22-Jul-13,7,2013,Idun,9:02:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,35,old flanged,sired offspring in <2000
429,5653,23-Jul-13,7,2013,Idun,5:26:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,35,old flanged,
432,5654,24-Jul-13,7,2013,Tono,5:36:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,35,old flanged,
436,5664,28-Jul-13,7,2013,Idun,5:37:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,23,,
437,5669,30-Jul-13,7,2013,Wendy,4:55:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,26,young flanged,sired offspring as unflanged in 2002
438,5671,31-Jul-13,7,2013,Idun,5:15:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,26,young flanged,
440,5672,1-Aug-13,8,2013,Abuk,6:38:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,23,,
443,5681,3-Aug-13,8,2013,Abuk,5:14:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,26,young flanged,
444,5685,4-Aug-13,8,2013,"Pawel, Kumpo",5:14:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
445,5683,4-Aug-13,8,2013,Idun,6:15:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,23,,
447,5687,5-Aug-13,8,2013,Suwi,6:18:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
446,5686,5-Aug-13,8,2013,Idun,6:35:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,23,,
448,5693,10-Aug-13,8,2013,Tono,5:06:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,35,old flanged,
456,5703,24-Aug-13,8,2013,Abuk,5:20:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
455,5704,24-Aug-13,8,2013,Suwi,5:17:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
458,5709,26-Aug-13,8,2013,Idun,5:27:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
460,5718,30-Aug-13,8,2013,Suwi,5:47:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
461,5720,31-Aug-13,8,2013,Paige,5:45:00 AM,Mawas,Mawas,local offspring,,2008,7,61,2014,11,,,,,,,,,,
463,5724,1-Sep-13,9,2013,Abuk,5:24:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
465,5725,2-Sep-13,9,2013,Suwi,5:06:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>48,old female,
466,5730,4-Sep-13,9,2013,Kumpo,5:42:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,34,mid-aged flanged,
467,5731,5-Sep-13,9,2013,Paige,4:58:00 PM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,34,mid-aged flanged,
469,5733,7-Sep-13,9,2013,Wendy,5:04:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,34,mid-aged flanged,
471,5735,9-Sep-13,9,2013,Idun,5:06:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,26,young flanged,
473,5740,12-Sep-13,9,2013,Abuk,5:28:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,age estim based on offspring births but she looks older!
474,5742,13-Sep-13,9,2013,Paige,5:18:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,
475,5746,14-Sep-13,9,2013,Abuk,5:48:00 AM,Chaz,Chaz,flanged,<2013,,,,,,,,,,,,<1987,26,young flanged,
477,5750,16-Sep-13,9,2013,Abuk,5:56:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,
478,5753,18-Sep-13,9,2013,Idun,5:31:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,
479,5755,19-Sep-13,9,2013,Abuk,5:35:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,
481,5758,20-Sep-13,9,2013,Paige,5:24:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,31,,
483,5777,29-Sep-13,9,2013,Abuk,4:52:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
484,5802,30-Sep-13,9,2013,Paige,4:34:00 AM,Jip,Jip,local offspring,,2006,2,91,2013,7,,,,,,,,,,
485,5789,4-Oct-13,10,2013,Anna,7:16:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
486,5796,7-Oct-13,10,2013,Abuk,4:52:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
493,5821,21-Oct-13,10,2013,Idun,5:16:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,28,young flanged,
496,5839,27-Oct-13,10,2013,Idun,11:29:00 AM,Ted,Ted,unflanged,,,,,,,,,,,,,<1998,15,young unflanged,
497,5842,28-Oct-13,10,2013,Abuk,4:50:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
498,9999,30-Oct-13,10,2013,Paige,5:20:00 AM,Ekko,Ekko,unflanged,2015,,,,,,,,,,,,1990,23,old unflanged,
500,5856,1-Nov-13,11,2013,Abuk,7:59:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,15,,
502,5891,14-Nov-13,11,2013,Paige,5:16:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,26,young flanged,
503,9999,18-Nov-13,11,2013,Abuk,8:04:00 AM,Unknown unflanged male,Anton,unflanged,2018,,,,,,,,,,,,<1994,19,young unflanged,focal Kerry in assoc. Anton unflanged
505,5923,5-Dec-13,12,2013,Idun,5:09:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
506,5936,15-Dec-13,12,2013,Abuk,5:02:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,21,,
507,9999,16-Dec-13,12,2013,Idun,4:51:00 AM,Mawas,Mawas,local offspring,,2008,7,65,2014,11,,,,,,,,,,
508,5942,17-Dec-13,12,2013,Idun,5:10:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,27,,
509,9999,19-Dec-13,12,2013,Idun,5:13:00 AM,Mawas,Mawas,local offspring,,2008,7,65,2014,11,,,,,,,,,,
510,5949,23-Dec-13,12,2013,Idun,6:01:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,35,old flanged,
512,5955,25-Dec-13,12,2013,Anna,6:59:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
511,5955,25-Dec-13,12,2013,Idun,7:50:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
514,5959,26-Dec-13,12,2013,Anna,11:31:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
515,5962,27-Dec-13,12,2013,Abuk,4:56:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,12,,
517,5988,11-Jan-14,1,2014,Abuk,5:26:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
519,6004,12-Jan-14,1,2014,Anna,9:03:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,16,,
518,6000,16-Jan-14,1,2014,Idun,1:43:00 PM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,16,,
521,6008,20-Jan-14,1,2014,Suwi,6:19:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,16,,
522,6013,22-Jan-14,1,2014,Idun,5:54:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
523,6030,14-Feb-14,2,2014,Abuk,7:50:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
524,6051,9-Mar-14,3,2014,Wendy,5:31:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
527,6057,14-Mar-14,3,2014,Abuk,5:18:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
528,6060,16-Mar-14,3,2014,Wendy,4:44:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
530,6064,17-Mar-14,3,2014,Abuk,5:40:00 PM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
532,6075,24-Mar-14,3,2014,Idun,5:18:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
531,6076,24-Mar-14,3,2014,Abuk,5:04:00 AM,Kerry,Kerry,pregnant,,,,,,,2007,1,,,FM,2,c.1980,34,,
533,6088,27-Mar-14,3,2014,Abuk,7:30:00 AM,Tarzan,Tarzan,flanged,<2014,,,,,,,,,,,,<1988,26,young flanged,
534,6089,28-Mar-14,3,2014,Suwi,5:20:00 AM,Tarzan,Tarzan,flanged,<2014,,,,,,,,,,,,<1988,26,young flanged,
536,6091,29-Mar-14,3,2014,Rahmadt,5:01:00 AM,Tarzan,Tarzan,flanged,<2014,,,,,,,,,,,,<1988,26,young flanged,
535,6092,29-Mar-14,3,2014,Abuk,9:36:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
539,6094,30-Mar-14,3,2014,Idun,5:05:00 AM,Tarzan,Tarzan,flanged,<2014,,,,,,,,,,,,<1988,26,young flanged,
538,6096,30-Mar-14,3,2014,Suwi,5:20:00 AM,Mawas,Mawas,local offspring,,2008,7,68,2014,11,,,,,,,,,,
537,6095,30-Mar-14,3,2014,Suwi,5:30:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
541,6098,31-Mar-14,3,2014,Idun,5:08:00 AM,Tarzan,Tarzan,flanged,<2014,,,,,,,,,,,,<1988,26,young flanged,
540,6099,31-Mar-14,3,2014,Abuk,5:20:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
542,6102,1-Apr-14,4,2014,Idun,5:11:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
543,6106,3-Apr-14,4,2014,Abuk,5:29:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
544,6108,4-Apr-14,4,2014,Suwi,5:18:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,28,,
545,6111,5-Apr-14,4,2014,Abuk,5:20:00 AM,Mawas,Mawas,local offspring,,2008,7,69,2014,11,,,,,,,,,,
546,6116,6-Apr-14,4,2014,Suwi,8:01:00 AM,Gismo,Gismo,unflanged,2015,,,,,,,,,,,,1990,24,old unflanged,
547,6117,7-Apr-14,4,2014,Idun,5:26:00 AM,Gismo,Gismo,unflanged,2015,,,,,,,,,,,,1990,24,old unflanged,
552,6125,10-Apr-14,4,2014,Tono,4:59:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
556,6142,16-Apr-14,4,2014,Suwi,5:12:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,
558,6147,17-Apr-14,4,2014,Abuk,5:26:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
559,6145,17-Apr-14,4,2014,Idun,5:25:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,
560,6150,18-Apr-14,4,2014,Tono,4:51:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
561,6148,18-Apr-14,4,2014,Abuk,5:07:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,
562,6153,19-Apr-14,4,2014,Abuk,7:29:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
563,6156,20-Apr-14,4,2014,Rahmadt,5:25:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
566,6161,21-Apr-14,4,2014,Idun,5:15:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,16,,
568,6167,24-Apr-14,4,2014,Abuk,5:33:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
569,6182,30-Apr-14,4,2014,Idun,6:06:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
570,6185,1-May-14,5,2014,Abuk,5:12:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
572,6188,2-May-14,5,2014,Tono,5:10:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
574,6197,8-May-14,5,2014,Idun,5:18:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
575,6200,9-May-14,5,2014,Idun,5:13:00 AM,Kondor,Kondor,parous female,,,,,,,2012,2,,,F,1,1998,16,,
576,6203,9-May-14,5,2014,Abuk,5:40:00 AM,Jip,Jip,local offspring,,2006,2,99,2013,7,,,,,,,,,,
578,6210,11-May-14,5,2014,Suwi,5:20:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
579,6218,12-May-14,5,2014,Idun,5:12:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
580,6224,13-May-14,5,2014,Idun,5:11:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,36,old flanged,
581,6227,14-May-14,5,2014,Anna,4:58:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
583,6229,15-May-14,5,2014,Tono,5:23:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
584,6233,16-May-14,5,2014,Paige,4:55:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
588,6245,20-May-14,5,2014,Idun,5:39:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
589,6248,20-May-14,5,2014,Yann,8:30:00 AM,Katmandun,Kay,flanged,<2005,,,,,,,,,,,,<1980,34,mid-aged flanged,
590,6249,21-May-14,5,2014,Wendy,4:50:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
591,6253,22-May-14,5,2014,Idun,5:10:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
593,6254,22-May-14,5,2014,Abuk,12:22:00 PM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,24,,
597,6266,24-May-14,5,2014,Wilhelm,5:05:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
